AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gummidipoondi,1,GEN,Thiruvallur,GOVINDARAJAN T.J,Dravida Munetra Kazhagam,281688,222069,78.84 %,50938,22.9%
Ponneri,2,SC,Thiruvallur,DURAI. CHANDRASEKAR,Indian National Congress,267368,210354,78.68 %,9689,4.6%
Tiruttani,3,GEN,Thiruvallur,S.Chandran,Dravida Munetra Kazhagam,291336,232624,79.85 %,29253,12.6%
Thiruvallur,4,GEN,Thiruvallur,"RAAJENDRAN, V.G.",Dravida Munetra Kazhagam,274982,214243,77.91 %,22701,10.6%
Poonamallee,5,SC,Thiruvallur,Krishnaswamy A,Dravida Munetra Kazhagam,358218,263736,73.62 %,94110,35.7%
Avadi,6,GEN,Thiruvallur,Nasar S M,Dravida Munetra Kazhagam,442831,300927,67.96 %,55275,18.4%
Maduravoyal,7,GEN,Thiruvallur,GANAPATHY.K,Dravida Munetra Kazhagam,452195,273870,60.56 %,31721,11.6%
Ambattur,8,GEN,Thiruvallur,JOSEPH SAMUEL,Dravida Munetra Kazhagam,384377,240299,62.52 %,42146,17.5%
Madavaram,9,GEN,Thiruvallur,SUDHARSANAM. S,Dravida Munetra Kazhagam,454474,302700,66.6 %,57071,18.9%
Thiruvottiyur,10,GEN,Thiruvallur,K.P.SHANKAR,Dravida Munetra Kazhagam,306005,199996,65.36 %,37661,18.8%
Dr.Radhakrishnan Nagar,11,GEN,Chennai,EBENEZER. J.J. (@) JOHN EBENEZER.J,Dravida Munetra Kazhagam,262980,187027,71.12 %,42479,22.7%
Perambur,12,GEN,Chennai,SHEKAR. R.D,Dravida Munetra Kazhagam,315942,200387,63.43 %,54976,27.4%
Kolathur,13,GEN,Chennai,M.K. STALIN,Dravida Munetra Kazhagam,281197,173388,61.66 %,70384,40.6%
Villivakkam,14,GEN,Chennai,A . Vetriazhagan,Dravida Munetra Kazhagam,255328,144092,56.43 %,37237,25.8%
Thiru-Vi-Ka-Nagar,15,SC,Chennai,SIVAKUMAR.P ALIAS THAYAGAMKAVI,Dravida Munetra Kazhagam,219438,133696,60.93 %,55013,41.1%
Egmore,16,SC,Chennai,I.PARANTHAMEN,Dravida Munetra Kazhagam,193162,119271,61.75 %,38768,32.5%
Royapuram,17,GEN,Chennai,MURTHY.R.IDREAM,Dravida Munetra Kazhagam,192635,121191,62.91 %,27779,22.9%
Harbour,18,GEN,Chennai,SEKARBABU. P.K,Dravida Munetra Kazhagam,175785,101650,57.83 %,27274,26.8%
Chepauk-Thiruvallikeni,19,GEN,Chennai,UDHAYANIDHI STALIN,Dravida Munetra Kazhagam,234067,137405,58.7 %,69355,50.5%
Thousand Lights,20,GEN,Chennai,EZHILAN N,Dravida Munetra Kazhagam,240096,135940,56.62 %,32462,23.9%
Anna Nagar,21,GEN,Chennai,M.K. Mohan,Dravida Munetra Kazhagam,286090,165096,57.71 %,27445,16.6%
Virugampakkam,22,GEN,Chennai,AMV.PRABHAKARA RAJA,Dravida Munetra Kazhagam,291691,169087,57.97 %,18367,10.9%
Saidapet,23,GEN,Chennai,SUBRAMANIAN. MA,Dravida Munetra Kazhagam,279033,160327,57.46 %,29408,18.3%
Thiyagarayanagar,24,GEN,Chennai,KARUNANITHI J,Dravida Munetra Kazhagam,245040,138114,56.36 %,137,0.1%
Mylapore,25,GEN,Chennai,VELU.DHA,Dravida Munetra Kazhagam,270568,153430,56.71 %,12633,8.2%
Velachery,26,GEN,Chennai,JMH.AASSAN MAULAANA,Indian National Congress,314578,176714,56.17 %,4352,2.5%
Shozhinganallur,27,GEN,Kancheepuram,S.ARAVINDRAMESH,Dravida Munetra Kazhagam,698893,388355,55.57 %,35405,9.1%
Alandur,28,GEN,Kancheepuram,T.M.Anbarasan,Dravida Munetra Kazhagam,389118,237751,61.1 %,40571,17.1%
Sriperumbudur,29,SC,Kancheepuram,SELVAPERUNTHAGAI,Indian National Congress,355267,264262,74.38 %,10879,4.1%
Pallavaram,30,GEN,Kancheepuram,KARUNANITHI,Dravida Munetra Kazhagam,436239,266190,61.02 %,37783,14.2%
Tambaram,31,GEN,Kancheepuram,Raja.S.R,Dravida Munetra Kazhagam,415663,248968,59.9 %,36824,14.8%
Chengalpattu,32,GEN,Kancheepuram,VARALAKSHMI.M,Dravida Munetra Kazhagam,428440,274087,63.97 %,26665,9.7%
Thiruporur,33,GEN,Kancheepuram,S.S.Balaji,Viduthalai Chiruthaigal Katchi,294620,226729,76.96 %,1947,0.9%
Cheyyur,34,SC,Kancheepuram,Babu M,Viduthalai Chiruthaigal Katchi,227468,179120,78.75 %,4042,2.3%
Madurantakam,35,SC,Kancheepuram,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,226715,185842,81.97 %,3570,1.9%
Uthiramerur,36,GEN,Kancheepuram,SUNDAR K,Dravida Munetra Kazhagam,260462,210529,80.83 %,1622,0.8%
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhailzrasan,Dravida Munetra Kazhagam,309192,229430,74.2 %,11595,5.1%
Arakkonam,38,SC,Vellore,S.RAVI,All India Anna Dravida Munnetra Kazhagam,227320,171412,75.41 %,27169,15.9%
Sholinghur,39,GEN,Vellore,A.M.MUNIRATHINAM,Indian National Congress,278034,224109,80.6 %,26698,11.9%
Katpadi,40,GEN,Vellore,DURAIMURUGAN,Dravida Munetra Kazhagam,250228,186246,74.43 %,746,0.4%
Ranipet,41,GEN,Vellore,R.GANDHI,Dravida Munetra Kazhagam,267260,207462,77.63 %,16498,8.0%
Arcot,42,GEN,Vellore,J.L.Eswarappan,Dravida Munetra Kazhagam,262476,209791,79.93 %,19958,9.5%
Vellore,43,GEN,Vellore,Karthikeyan .P,Dravida Munetra Kazhagam,253536,179899,70.96 %,9181,5.1%
Anaikattu,44,GEN,Vellore,A.P.Nandakumar,Dravida Munetra Kazhagam,256727,197805,77.05 %,6360,3.2%
Kilvaithinankuppam,45,SC,Vellore,M.JAGAN MOORTHY,All India Anna Dravida Munnetra Kazhagam,227241,174124,76.63 %,10582,6.1%
Gudiyattam,46,SC,Vellore,Amulu.V,Dravida Munetra Kazhagam,290135,211630,72.94 %,6901,3.3%
Vaniyambadi,47,GEN,Vellore,G.SENDHIL KUMAR,All India Anna Dravida Munnetra Kazhagam,250220,189997,75.93 %,4904,2.6%
Ambur,48,GEN,Vellore,VILWANATHAN.A.C,Dravida Munetra Kazhagam,238473,177878,74.59 %,20232,11.4%
Jolarpet,49,GEN,Vellore,DEVARAJI.K.,Dravida Munetra Kazhagam,240869,196358,81.52 %,1091,0.6%
Tirupattur,50,GEN,Vellore,A. NALLATHAMBI,Dravida Munetra Kazhagam,239239,185930,77.72 %,28240,15.2%
Uthangarai,51,SC,Krishnagiri,T.M.TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,238299,188223,78.99 %,28387,15.1%
Bargur,52,GEN,Krishnagiri,MATHIAZHAGAN D,Dravida Munetra Kazhagam,248335,197784,79.64 %,12614,6.4%
Krishnagiri,53,GEN,Krishnagiri,Ashokkumar.K,All India Anna Dravida Munnetra Kazhagam,268189,211648,78.92 %,794,0.4%
Veppanahalli,54,GEN,Krishnagiri,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,252085,205141,81.38 %,3054,1.5%
Hosur,55,GEN,Krishnagiri,PRAKAASH Y,Dravida Munetra Kazhagam,351771,248098,70.53 %,12367,5.0%
Thalli,56,GEN,Krishnagiri,RAMACHANDRAN.T,Communist Party Of India,251215,194022,77.23 %,56226,29.0%
Palacode,57,GEN,Dharmapuri,ANBALAGAN.K.P.,All India Anna Dravida Munnetra Kazhagam,237391,206595,87.03 %,28100,13.6%
Pennagaram,58,GEN,Dharmapuri,MANI. G.K,Pattali Makkal Katchi,246772,210305,85.22 %,21186,10.1%
Dharmapuri,59,GEN,Dharmapuri,VENKATESHWARAN.S.P.,Pattali Makkal Katchi,269773,217333,80.56 %,26860,12.4%
Pappireddipatti,60,GEN,Dharmapuri,GOVINDASAMY.A,All India Anna Dravida Munnetra Kazhagam,265487,220994,83.24 %,36943,16.7%
Harur,61,SC,Dharmapuri,SAMPATHKUMAR.V,All India Anna Dravida Munnetra Kazhagam,250120,198565,79.39 %,30362,15.3%
Chengam,62,SC,Tiruvannamalai,GIRI.M.P,Dravida Munetra Kazhagam,275419,223950,81.31 %,11570,5.2%
Tiruvannamalai,63,GEN,Tiruvannamalai,E V VELU,Dravida Munetra Kazhagam,286589,208836,72.87 %,94673,45.3%
Kilpennathur,64,GEN,Tiruvannamalai,K.Pitchandi,Dravida Munetra Kazhagam,253562,203886,80.41 %,26787,13.1%
Kalasapakkam,65,GEN,Tiruvannamalai,Saravanan.P.S.T,Dravida Munetra Kazhagam,243655,196434,80.62 %,9222,4.7%
Polur,66,GEN,Tiruvannamalai,Agri KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,245195,202012,82.39 %,9725,4.8%
Arani,67,GEN,Tiruvannamalai,SEVOOR RAMACHANDRAN. S,All India Anna Dravida Munnetra Kazhagam,277727,221422,79.73 %,3128,1.4%
Cheyyar,68,GEN,Tiruvannamalai,JOTHI. O,Dravida Munetra Kazhagam,259890,214460,82.52 %,12271,5.7%
Vandavasi,69,SC,Tiruvannamalai,Ambethkumar S,Dravida Munetra Kazhagam,240654,185974,77.28 %,35953,19.3%
Gingee,70,GEN,Viluppuram,MASTHAN K S,Dravida Munetra Kazhagam,261167,206880,79.21 %,35803,17.3%
Mailam,71,GEN,Viluppuram,SIVAKUMAR C,Pattali Makkal Katchi,220324,176989,80.33 %,2230,1.3%
Tindivanam,72,SC,Viluppuram,ARJUNAN P,All India Anna Dravida Munnetra Kazhagam,230570,182538,79.17 %,9753,5.3%
Vanur,73,SC,Viluppuram,CHAKRAPANI M,All India Anna Dravida Munnetra Kazhagam,226608,182208,80.41 %,21727,11.9%
Villupuram,74,GEN,Viluppuram,LAKSHMANAN R,Dravida Munetra Kazhagam,262175,204860,78.14 %,14868,7.3%
Vikravandi,75,GEN,Viluppuram,PUGAZHENTHI N,Dravida Munetra Kazhagam,234841,193617,82.45 %,9573,4.9%
Tirukkoyilur,76,GEN,Viluppuram,K.PONMUDY,Dravida Munetra Kazhagam,254716,196217,77.03 %,59680,30.4%
Ulundurpettai,77,GEN,Viluppuram,MANIKANNAN. A.J,Dravida Munetra Kazhagam,293464,244853,83.44 %,5256,2.1%
Rishivandiyam,78,GEN,Viluppuram,KARTHIKEYAN K,Dravida Munetra Kazhagam,268323,215106,80.17 %,41728,19.4%
Sankarapuram,79,GEN,Viluppuram,UDHAYASURIYAN T,Dravida Munetra Kazhagam,268594,215802,80.35 %,45963,21.3%
Kallakurichi,80,SC,Viluppuram,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,286621,225858,78.8 %,25891,11.5%
Gangavalli,81,SC,Salem,"NALLATHAMBI,A.",All India Anna Dravida Munnetra Kazhagam,239024,186503,78.03 %,7361,3.9%
Attur,82,SC,Salem,"JAYASANKARAN, A.P.",All India Anna Dravida Munnetra Kazhagam,254705,199743,78.42 %,8257,4.1%
Yercaud,83,ST,Salem,G. Chitra,All India Anna Dravida Munnetra Kazhagam,284029,238924,84.12 %,25955,10.9%
Omalur,84,GEN,Salem,R.MANI,All India Anna Dravida Munnetra Kazhagam,296192,249027,84.08 %,55294,22.2%
Mettur,85,GEN,Salem,SADHASIVAM.S,Pattali Makkal Katchi,286849,218442,76.15 %,656,0.3%
Edappadi,86,GEN,Salem,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,285298,247301,86.68 %,93802,37.9%
Sankari,87,GEN,Salem,"SUNDARARAJAN, S.",All India Anna Dravida Munnetra Kazhagam,274307,232247,84.67 %,20045,8.6%
Salem (West),88,GEN,Salem,ARUL. R,Pattali Makkal Katchi,299693,216628,72.28 %,21499,9.9%
Salem (North),89,GEN,Salem,R. RAJENDRAN,Dravida Munetra Kazhagam,276022,202376,73.32 %,7588,3.7%
Salem (South),90,GEN,Salem,E.BALASUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,260403,199982,76.8 %,22609,11.3%
Veerapandi,91,GEN,Salem,"RAJAMUTHU, M.",All India Anna Dravida Munnetra Kazhagam,260064,223702,86.02 %,19895,8.9%
Rasipuram,92,SC,Namakkal,MATHIVENTHAN M,Dravida Munetra Kazhagam,236580,196904,83.23 %,1952,1.0%
Senthamangalam,93,ST,Namakkal,PONNUSAMY K,Dravida Munetra Kazhagam,243556,199235,81.8 %,10493,5.3%
Namakkal,94,GEN,Namakkal,RAMALINGAM P,Dravida Munetra Kazhagam,257854,206759,80.18 %,27861,13.5%
Paramathi-Velur,95,GEN,Namakkal,SEKAR S,All India Anna Dravida Munnetra Kazhagam,221664,183697,82.87 %,7662,4.2%
Tiruchengodu,96,GEN,Namakkal,ESWARAN E R,Dravida Munetra Kazhagam,231133,184669,79.9 %,2862,1.5%
Kumarapalayam,97,GEN,Namakkal,THANGAMANI.P,All India Anna Dravida Munnetra Kazhagam,254468,201925,79.35 %,31646,15.7%
Erode (East),98,GEN,Erode,"THIRUMAHAN EVERAA,E.",Indian National Congress,228425,152037,66.56 %,8904,5.9%
Erode (West),99,GEN,Erode,Muthusamy S,Dravida Munetra Kazhagam,293099,205579,70.14 %,22089,10.7%
Modakkurichi,100,GEN,Erode,SARASWATHI.C,Bharatiya Janta Party,238932,181857,76.11 %,281,0.2%
Dharapuram,101,SC,Erode,KAYALVIZHI N,Dravida Munetra Kazhagam,258581,193991,75.02 %,1393,0.7%
Kangayam,102,GEN,Erode,SAMINATHAN.M.P,Dravida Munetra Kazhagam,257190,199818,77.69 %,7331,3.7%
Perundurai,103,GEN,Erode,"JAYAKUMAR, S.",All India Anna Dravida Munnetra Kazhagam,227887,189843,83.31 %,14507,7.6%
Bhavani,104,GEN,Erode,KARUPPANAN.K.C,All India Anna Dravida Munnetra Kazhagam,238721,201385,84.36 %,22523,11.2%
Anthiyur,105,GEN,Erode,VENKATACHALAM.A.G,Dravida Munetra Kazhagam,219615,176385,80.32 %,1275,0.7%
Gobichettipalayam,106,GEN,Erode,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,256363,214281,83.58 %,28563,13.3%
Bhavanisagar,107,SC,Erode,A.Bannari,All India Anna Dravida Munnetra Kazhagam,260249,200567,77.07 %,16008,8.0%
Udhagamandalam,108,GEN,The Nilgiris,"GANESH, R.",Indian National Congress,206039,141102,68.48 %,5348,3.8%
Gudalur,109,SC,The Nilgiris,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,189221,138257,73.07 %,1945,1.4%
Coonoor,110,GEN,The Nilgiris,"Ramachandran, K.",Dravida Munetra Kazhagam,192118,135908,70.74 %,4105,3.0%
Mettuppalayam,111,GEN,Coimbatore,SELVARAJ A K,All India Anna Dravida Munnetra Kazhagam,296937,225083,75.8 %,2456,1.1%
Avanashi,112,SC,Coimbatore,"DHANAPAL, P",All India Anna Dravida Munnetra Kazhagam,280560,212627,75.79 %,50902,23.9%
Tiruppur (North),113,GEN,Coimbatore,VIJEYAKUMAR.K.N,All India Anna Dravida Munnetra Kazhagam,379139,238092,62.8 %,40102,16.8%
Tiruppur (South),114,GEN,Coimbatore,SELVARAJ. K.,Dravida Munetra Kazhagam,276483,174418,63.08 %,4709,2.7%
Palladam,115,GEN,Coimbatore,ANANDAN M S M,All India Anna Dravida Munnetra Kazhagam,389786,261511,67.09 %,32691,12.5%
Sulur,116,GEN,Coimbatore,KANDASAMY V.P.,All India Anna Dravida Munnetra Kazhagam,317223,241653,76.18 %,31932,13.2%
Kavundampalayam,117,GEN,Coimbatore,G.Arunkumar,All India Anna Dravida Munnetra Kazhagam,465345,309918,66.6 %,9776,3.2%
Coimbatore (North),118,GEN,Coimbatore,AMMAN K.ARJUNAN,All India Anna Dravida Munnetra Kazhagam,338712,202799,59.87 %,4001,2.0%
